sample_id,split,label,crack_pixels,pothole_pixels,lane_pixels,image_path
994080_RS_386_386RS191729_07165,train,Crack,6324,0,356144,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/994080_RS_386_386RS191729_07165/994080_RS_386_386RS191729_07165_RAW.jpg
1061100_DF_251_251BDF0525_00653,train,Pothole,0,591,380211,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1061100_DF_251_251BDF0525_00653/1061100_DF_251_251BDF0525_00653_RAW.jpg
941950_RS_290_290RS070691_02655,train,Pothole,0,5186,374872,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/941950_RS_290_290RS070691_02655/941950_RS_290_290RS070691_02655_RAW.jpg
1093966_DF_251_251BDF0052_02690,val,Pothole,828,1195,378820,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1093966_DF_251_251BDF0052_02690/1093966_DF_251_251BDF0052_02690_RAW.jpg
918237_RS_290_290RS294095_24635,train,Crack,3975,0,359955,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/918237_RS_290_290RS294095_24635/918237_RS_290_290RS294095_24635_RAW.jpg
1014766_RS_386_386RS124739_30755,val,Normal,1422,0,377032,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014766_RS_386_386RS124739_30755/1014766_RS_386_386RS124739_30755_RAW.jpg
1091762_DF_251_251BDF0490_00872,train,Crack,1828,0,355003,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1091762_DF_251_251BDF0490_00872/1091762_DF_251_251BDF0490_00872_RAW.jpg
1014727_RS_386_386RS124739_30560,train,Crack,23281,0,369052,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014727_RS_386_386RS124739_30560/1014727_RS_386_386RS124739_30560_RAW.jpg
1091172_DF_070_070BDF0050_07513,val,Crack,11613,0,364740,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1091172_DF_070_070BDF0050_07513/1091172_DF_070_070BDF0050_07513_RAW.jpg
1014677_RS_386_386RS124739_30310,train,Crack,26881,0,380923,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014677_RS_386_386RS124739_30310/1014677_RS_386_386RS124739_30310_RAW.jpg
